"Reference ID","Product Name","Sale  Price","POS Category","Internal Category"
7861091158031,"AMR VAINILL 175g",1.99,"Grocery","Grocery"
7861091158741,"TNGO MINI V 300g",3.99,"Grocery","Grocery"
7861091158789,"TNGO MINI C 300g",4.49,"Grocery","Grocery"
7861091196774,"NSTL COCO C 412g",3.99,"Grocery","Grocery"
7861091199898,"NESTLE SAL 380g ",2.99,"Grocery","Grocery"
7861111200016,"TP MANZANA 7.05z",1.89,"Grocery","Grocery"
7861111200115,"TP FRESA 7.05oz",1.89,"Grocery","Grocery"
7861111200139,"TP PINA 7.05oz",1.89,"Grocery","Grocery"
7861111200146,"TP NARANJA 7.05z",1.89,"Grocery","Grocery"
7861111200177,"TP MORA 7.05oz",1.89,"Grocery","Grocery"
7861111200184,"TP MANGO 7.05oz",1.89,"Grocery","Grocery"
7861111200191,"TP FRESA 14.1z",3.79,"Grocery","Grocery"
7861111200207,"TP MANZANA 14.1z",3.79,"Grocery","Grocery"
7861111200221,"TP PIÑA 14.1z ",3.79,"Grocery","Grocery"
7861111200238,"TP MORA 14.1z",3.79,"Grocery","Grocery"
7861111200269,"TP VAINILLA 7.05",1.89,"Grocery","Grocery"
7862103120190,"PCA FIDEOS 14.1z",1.49,"Grocery","Grocery"
7862103122552,"PCA LAZO I 14.1z",1.49,"Grocery","Grocery"
7862103920011,"FS TOROJIL 1.oz ",2.49,"Grocery","Grocery"
7862103920028,"FS VALERIAN 1.oz",2.49,"Grocery","Grocery"
7862103920059,"FABS  TE ANIS 1z",2.49,"Grocery","Grocery"
7862103920066,"FF TEA BOLD 1.z",2.49,"Grocery","Grocery"
7862103920097,"FS ADELGAZNTE 1z",2.99,"Grocery","Grocery"
7862103920103,"FS PROSTATIC 1.z",2.99,"Grocery","Grocery"
7862103920134,"FS TE REGULR 1.z",2.99,"Grocery","Grocery"
7862103920141,"FS MANZANILLA 1z",2.49,"Grocery","Grocery"
7862103920363,"FS REGUTEROL 1.z",2.99,"Grocery","Grocery"
7862103920370,"FS TE VALTOR 1z ",2.99,"Grocery","Grocery"
7862103921018,"FS HIERB LSA 1.z",2.49,"Grocery","Grocery"
7862103921100,"MANZANLL/MIEL 1z",2.29,"Grocery","Grocery"
7862103921124,"FS HRCHT/MIEL 1z",2.49,"Grocery","Grocery"
7862103921162,"FS TE VERD 1.oz ",2.49,"Grocery","Grocery"
7862103922411,"FS TE VERDE 1z",3.79,"Grocery","Grocery"
7862106450317,"LU HUEVITOS 8.8z",2.99,"Grocery","Grocery"
7862106454568,"LU CROQUETS 8.8z",3.99,"Grocery","Grocery"
7862106454803,"COCOA UNIV 15½oz",2.99,"Grocery","Grocery"
7862106455008,"LU SURTIDS 14.8z",2.99,"Grocery","Grocery"
7862106455541,"LA/U MENTA 14.1Z",2.99,"Grocery","Grocery"
7862106455558,"LU L/MIEL 14¾z",2.99,"Grocery","Grocery"
78600362,"SI CAFE 1.7z",4.49,"Grocery","Grocery"
78600812,"SI CAFE 3.5z",6.99,"Grocery","Grocery"
78604766,"REAL ATUN 2oz",2.69,"Grocery","Grocery"
9800895007,"NUTELLA 13oz",3.99,"Grocery","Grocery"
11210000032,"TABASC ORGNL 12z",7.69,"Grocery","Grocery"
11210002500,"TABASCO BUFAL 5z",4.19,"Grocery","Grocery"
11210006096,"TBASCO HABNER 2z",3.39,"Grocery","Grocery"
13000007566,"HENZ WHITE V 64z",3.19,"Grocery","Grocery"
13000008129,"HENZ APPLE V 16z",1.69,"Grocery","Grocery"
13000008143,"HENZ APPLE V 32z",2.59,"Grocery","Grocery"
13000008525,"HENZ WHITE V 16z",1.39,"Grocery","Grocery"
13000008549,"HENZ WHITE V 32z",1.99,"Grocery","Grocery"
13600001063,"SALT IODIZED 1lb",0.99,"Grocery","Grocery"
13600020040,"KOSHER SALT 13oz",1.39,"Grocery","Grocery"
13600020057,"DC SEA SALT 22z",2.49,"Grocery","Grocery"
13900500013,"BELL'S SSNG 1oz",1.99,"Grocery","Grocery"
14800000016,"MOTT'S ORGNL 24z",2.69,"Grocery","Grocery"
14800000054,"MOTT'S CNNMN 24z",2.69,"Grocery","Grocery"
14800000320,"MOTT'S ORGNL 32z",2.79,"Grocery","Grocery"
14800000399,"MOTT'S ORGL 1GAL",6.29,"Grocery","Grocery"
14800002256,"HP MIXED BR 1GAL",3.39,"Grocery","Grocery"
14800210736,"MOTT'S BRRY 6/4z",3.19,"Grocery","Grocery"
14800210781,"MOTT'S MNGO 6/4z",3.19,"Grocery","Grocery"
14800319101,"MOTT'S O 4/4.23z",1.6,"Grocery","Grocery"
14800319125,"MOTT'S F 4/4.23z",1.6,"Grocery","Grocery"
14800582260,"REAL LEMON 32oz",2.99,"Grocery","Grocery"
14800646085,"HP FRUIT JU 1GAL",3.39,"Grocery","Grocery"
14800646092,"HP ORANGE O 1GAL",3.39,"Grocery","Grocery"
14800646986,"HP LEMON LM 1GAL",3.39,"Grocery","Grocery"
15000007751,"GB APL JUICE 16z",3.49,"Grocery","Grocery"
15000007850,"GB A PRUNE J 16z",3.49,"Grocery","Grocery"
15000012120,"GB CN&CHKN G 2½z",1.39,"Grocery","Grocery"
15000012144,"GB BF&BF GRV 2½z",1.39,"Grocery","Grocery"
15000020712,"GB APPLE JCE 1Qt",3.09,"Grocery","Grocery"
15000020781,"GB MIXD FRT J 1Q",3.19,"Grocery","Grocery"
15000020842,"GB PEAR JUICE 1Q",3.19,"Grocery","Grocery"
15000026028,"GB M VEG&CHKN 6z",1.09,"Grocery","Grocery"
15000026042,"GB M VEG&BEEF 6z",1.09,"Grocery","Grocery"
15000026080,"GB CHKN NOODL 6z",1.09,"Grocery","Grocery"
15000026189,"GB S POTATOES 6z",1.09,"Grocery","Grocery"
15000026318,"GB APPLES 6oz",1.09,"Grocery","Grocery"
15000026363,"GB BNANA STWB 6z",1.09,"Grocery","Grocery"
15000027216,"GB PEAR MNO G 6z",1.29,"Grocery","Grocery"
15000045203,"GB GRAD PF 1.48z",2.89,"Grocery","Grocery"
15000045227,"GB GRAD PF 1.48z",2.89,"Grocery","Grocery"
15000045265,"GB GRAD PF 1.48z",2.89,"Grocery","Grocery"
15000071110,"GB CARROTS 2/2½z",1.49,"Grocery","Grocery"
15000071165,"GB PEAS 2/2½oz",1.49,"Grocery","Grocery"
15000071172,"GB SQUASH 2/2½z",1.49,"Grocery","Grocery"
15000071189,"GB S pOTAT 2/2½z",1.49,"Grocery","Grocery"
15000071301,"GB PEACHES 2/2½z",1.49,"Grocery","Grocery"
15000071318,"GB APPLES 2/2½oz",1.49,"Grocery","Grocery"
15000071349,"GB PEARS 2/2½oz",1.49,"Grocery","Grocery"
15000071356,"GB BANANAS 2/2½z",1.49,"Grocery","Grocery"
15000071363,"GB PRUNES 2/2½oz",1.49,"Grocery","Grocery"
15000073114,"GB CARROTS 2/3½z",1.69,"Grocery","Grocery"
15000073121,"GB G BEANS 2/3½z",1.69,"Grocery","Grocery"
15000073169,"GB PEAS 2/3½oz",1.69,"Grocery","Grocery"
15000073176,"GB SQUASH 2/3½oz",1.69,"Grocery","Grocery"
15000073183,"GB S POTAT 2/3½z",1.69,"Grocery","Grocery"
15000073237,"GB PT&CORN 2/3½z",1.69,"Grocery","Grocery"
15000073305,"GB PEACHES 2/3½z",1.69,"Grocery","Grocery"
15000073343,"GB PEARS 2/3½oz",1.69,"Grocery","Grocery"
15000073350,"GB BANANA 2/3½z",1.69,"Grocery","Grocery"
16000106109,"GM ALL PURPOS 5b",3.79,"Grocery","Grocery"
16000107106,"GM ALL PURPOS 2b",1.99,"Grocery","Grocery"
16000108103,"GM ALL NATURL 5b",4.89,"Grocery","Grocery"
16000275119,"CCOA PUFFS 11.8z",4.39,"Grocery","Grocery"
16000275270,"HNEY CHRRIOS 11¼",5.29,"Grocery","Grocery"
16000275287,"GM CHEERIOS 18z",6.09,"Grocery","Grocery"
16000275348,"LCKY CHARMS 11½z",5.29,"Grocery","Grocery"
16000275645,"GM CHEERIOS 14z",5.49,"Grocery","Grocery"
16000275676,"GM KIK 12z",5.29,"Grocery","Grocery"
16000275720,"GM TRIX 14.8z",4.99,"Grocery","Grocery"
16000275799,"LCKY CHARMS C 12",4.99,"Grocery","Grocery"
16000297098,"TOM/J SNACK 10z",3.49,"Grocery","Grocery"
16000301405,"BC OATMEAL 17.5z",3.09,"Grocery","Grocery"
16000420601,"BC BISQUICK 20z",2.89,"Grocery","Grocery"
16000423527,"KF PAND SNCK 10z",3.49,"Grocery","Grocery"
16000424142,"SPONG BB SNCK 10",3.49,"Grocery","Grocery"
16000424197,"SCOOBYd SNCK 10z",3.49,"Grocery","Grocery"
16000458307,"BC RICH/CREMY 1b",2.79,"Grocery","Grocery"
16000625709,"GM KIK 18oz",5.59,"Grocery","Grocery"
16712019025,"VENEZOLANA 24oz",3.49,"Grocery","Grocery"
16712019179,"VENEZOLANA 80oz",8.49,"Grocery","Grocery"
16712019193,"VENEZOLANA 64oz",7.99,"Grocery","Grocery"
16712019209,"VENEZOLANA 24z",3.49,"Grocery","Grocery"
17202201562,"COLCAFE INST 6z",6.49,"Grocery","Grocery"
17202268084,"COLCAF INS 1.76z",2.49,"Grocery","Grocery"
17202268534,"COLCAF INS 3.52z",4.49,"Grocery","Grocery"
17202271480,"COLCAFE DC 3.52z",4.99,"Grocery","Grocery"
20662000132,"NO NATURAL 10½oz",2.99,"Grocery","Grocery"
21000028221,"KRFT MAC&CHSE 2z",1.79,"Grocery","Grocery"
21000038695,"KRFT HONEY 17.5z",2.19,"Grocery","Grocery"
21000038749,"KRFT ORIGNL 17.5",2.19,"Grocery","Grocery"
21000038756,"KRFT P CHEESE 8z",3.79,"Grocery","Grocery"
21000615421,"KRFT P CHEESE 3z",2.49,"Grocery","Grocery"
21000658831,"KRFT MAC&CHS 7¼z",1.99,"Grocery","Grocery"
21000678488,"KRAFT HOT 18oz",2.19,"Grocery","Grocery"
21500003049,"LAWRY´S SALT 16Z",1.99,"Grocery","Grocery"
22343160036,"EL YUCATECO ",1.79,"Grocery","Grocery"
23545002971,"FELA PANELA 16oz",1.5,"Grocery","Grocery"
23545201435,"LF BROWN SGAR 2b",2.99,"Grocery","Grocery"
23545203323,"LF COCONUT FL 8z",2.49,"Grocery","Grocery"
23545204382,"LF GUAVA PST 14z",1.29,"Grocery","Grocery"
23545204801,"LaFE SRDINS 5.5z",0.79,"Grocery","Grocery"
23545208137,"LF TAMARND 11.8z",1.29,"Grocery","Grocery"
23545208670,"LF BROWN SGAR 4b",5.99,"Grocery","Grocery"
23545209240,"U GLTNA FRE 5.3z",1.39,"Grocery","Grocery"
23545209257,"U GLTNA NRNJ 5.3",1.39,"Grocery","Grocery"
23545209288,"U GLTNA LMN 5.3z",1.39,"Grocery","Grocery"
23545209370,"U CHCHA MRDA 4.2",0.99,"Grocery","Grocery"
23545305133,"TRIGUISAR 2.4oz",1.29,"Grocery","Grocery"
